traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol",None,None,Yes,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Other,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Dusk,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Dusk,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Dusk,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Minor,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,Had Been Drinking,None,None,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Daylight,Slush,Non-Fatal Injury,Minor,Inattentive,Yes,Yes,None,None
No Control,Rain,Daylight,Slush,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Daylight,Slush,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Rain,Daylight,Slush,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Freezing Rain,Dark,Slush,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Freezing Rain,Dark,Slush,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Freezing Rain,Dark,Slush,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Freezing Rain,Dark,Slush,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Slush,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Slush,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Slush,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Slush,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Slush,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Snow,Daylight,Packed Snow,Non-Fatal Injury,None,None,None,None,None,None
No Control,Snow,Daylight,Packed Snow,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Snow,Daylight,Packed Snow,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Snow,Dark,Wet,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Snow,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Minor,Unknown,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Stop Sign,Clear,Dark,Slush,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Dark,Slush,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Dark,Slush,Non-Fatal Injury,Minor,Unknown,None,Yes,None,None
No Control,Clear,Daylight,Loose Snow,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Loose Snow,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Fatal,None,"Ability Impaired, Alcohol Over .08",Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Snow,Dark,Packed Snow,Fatal,None,Normal,Yes,Yes,None,None
No Control,Snow,Dark,Packed Snow,Fatal,Fatal,None,Yes,Yes,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Other,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Other,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
No Control,Clear,Daylight,Other,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Unknown,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Wet,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Wet,Fatal,None,None,None,None,None,None
No Control,Clear,Daylight,Wet,Fatal,None,Normal,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol",Yes,Yes,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Had Been Drinking,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Snow,Dark,Packed Snow,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Snow,Dark,Packed Snow,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Controller,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Controller,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Controller,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Controller,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Controller,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Controller,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Snow,Daylight,Loose Snow,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,None,"Ability Impaired, Alcohol",Yes,Yes,Yes,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,Major,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,Major,Had Been Drinking,None,None,None,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Ice,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Had Been Drinking,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Loose Snow,Non-Fatal Injury,None,None,None,Yes,None,Yes
Traffic Signal,Clear,Dark,Loose Snow,Non-Fatal Injury,None,Normal,None,Yes,None,Yes
Traffic Signal,Clear,Dark,Loose Snow,Non-Fatal Injury,Major,Medical or Physical Disability,None,Yes,None,Yes
Traffic Signal,Clear,Dark,Loose Snow,Non-Fatal Injury,None,None,None,Yes,None,Yes
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Minimal,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,Unknown,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Daylight,Other,Fatal,None,None,None,Yes,None,None
No Control,Clear,Daylight,Other,Fatal,Minor,Other,None,Yes,None,None
No Control,Clear,Daylight,Other,Fatal,None,None,None,Yes,None,None
No Control,Clear,Daylight,Other,Fatal,Fatal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dusk,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Dusk,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dusk,Dry,Fatal,Fatal,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Pedestrian Crossover,Clear,Dark,Wet,Non-Fatal Injury,None,None,None,None,Yes,None
Pedestrian Crossover,Clear,Dark,Wet,Non-Fatal Injury,None,None,None,None,Yes,None
Pedestrian Crossover,Clear,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,Yes,None
Pedestrian Crossover,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,None,Yes,None
Pedestrian Crossover,Clear,Dark,Wet,Non-Fatal Injury,Minimal,"Ability Impaired, Alcohol",None,None,Yes,None
Stop Sign,Clear,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
